1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	-0.02
27	0
28	0.02
29	-0.02
30	0
31	0
32	0
33	0
34	0.02
35	-0.02
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0.02
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	-0.02
60	0
61	0
62	0
63	0.02
64	0
65	0
66	-0.02
67	0
68	0
69	0
70	0.02
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	-0.02
81	0.02
82	0
83	0
84	0
85	-0.02
86	0
87	0.02
88	0
89	0
90	0
91	-0.02
92	0.02
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	-0.02
101	0.02
102	0
103	0
104	0
105	0
106	-0.02
107	0
108	0
109	0.02
110	0
111	0
112	0
113	0
114	0
115	0
116	0
117	0
118	0
119	0
120	0
121	0
122	-0.02
123	0
124	0
125	0
126	0.02
127	0
128	-0.02
129	0
130	0.02
131	0
132	0
133	0
134	0
135	0
136	0
137	0
138	0
139	0
140	0
141	0
142	0
143	0
144	0
145	-0.02
146	0
147	0
148	0
149	0.02
150	0
151	0
152	0
153	0
154	0
155	0
156	0
157	0
158	0
159	0
160	0
161	0
162	-0.02
163	0.02
164	0
165	0
166	0
167	-0.02
168	0
169	0.02
170	0
171	0
172	0
173	-0.02
174	0
175	0.02
176	0
177	-0.02
178	0
179	0
180	0
181	0.02
182	0
183	-0.02
184	0
185	0.02
186	0
187	0
188	0
189	0
190	-0.02
191	0
192	0
193	0.02
194	0
195	0
196	-0.02
197	0
198	0
199	0
200	0
201	0
202	0.02
203	0
204	0
205	0
206	0
207	0
208	0
209	0
210	-0.02
211	0
212	0.02
213	0
214	0
215	0
216	0
217	0
218	0
219	0
220	0
221	0
222	0
223	0
224	0
225	0
226	0
227	0
228	0
229	0
230	0
231	0
232	0
233	0
234	0
235	0
236	0
237	0
238	0
239	0
240	0
241	0
242	0
243	0
244	0
245	0
246	0
247	0
248	0
249	0
250	0
251	0
252	0
253	0
254	0
255	0
